Request_ID,Create_Date,Close_Date,Status,Request_Type,Department,Origin,District,Latitude,Longitude,Create_Date_ISO,Close_Date_ISO
528854,1772149320000,,In Progress,Request Cleaning,Street Maintenance,Website,1,32.38146529,-86.23117412,2026-02-26T23:42:00+00:00,
528853,1772148780000,1772199360000,Closed,Street is holding water,Street Maintenance,Website,,0.0,0.0,2026-02-26T23:33:00+00:00,2026-02-27T13:36:00+00:00
528852,1772146560000,1772201700000,Closed,Inquiries(Engineering Department),Engineering Department,Call Center,1,32.3670271,-86.2548773,2026-02-26T22:56:00+00:00,2026-02-27T14:15:00+00:00
528851,1772146320000,1772146320000,Closed,FAQ-Sanitation,Sanitation Department,Call Center,6,32.316029,-86.1919,2026-02-26T22:52:00+00:00,2026-02-26T22:52:00+00:00
528850,1772142960000,1772142960000,Closed,FAQ-Personnel,FAQ,Call Center,,0.0,0.0,2026-02-26T21:56:00+00:00,2026-02-26T21:56:00+00:00
528847,1772142900000,,In Progress,Nuisance,Code Enforcement,Call Center,5,32.3474808,-86.2404805,2026-02-26T21:55:00+00:00,
528848,1772142900000,,In Progress,Clean Inlets (for stopped up storm drains),Street Maintenance,Call Center,8,32.3307857,-86.2114904,2026-02-26T21:55:00+00:00,
528849,1772142900000,,Open,Business in Residential District,Planning Department,Call Center,5,32.3474808,-86.2404805,2026-02-26T21:55:00+00:00,
528846,1772142840000,,Open,Traffic Issues for Montgomery Police Dept,Police Department,Call Center,5,32.3474808,-86.2404805,2026-02-26T21:54:00+00:00,
528845,1772142600000,1772143440000,Closed,Street Light Out,Traffic Engineering,Call Center,7,32.3589,-86.320476,2026-02-26T21:50:00+00:00,2026-02-26T22:04:00+00:00
528844,1772141760000,1772204280000,Closed,COM Plumbing,Building Maintenance,Call Center,3,32.4091855,-86.3208424,2026-02-26T21:36:00+00:00,2026-02-27T14:58:00+00:00
528843,1772141460000,,In Progress,General Repairs,Code Enforcement,Call Center,5,32.3561029,-86.2368094,2026-02-26T21:31:00+00:00,
528842,1772140380000,,In Progress,Community Center Electrical,Building Maintenance,Call Center,3,32.3798244,-86.3075741,2026-02-26T21:13:00+00:00,
528841,1772138220000,,In Progress,Sidewalk,Street Maintenance,Website,7,32.36612595,-86.31340774,2026-02-26T20:37:00+00:00,
528840,1772137620000,1772459100000,Closed,Missed Pick Up,Sanitation Department,Call Center,7,32.3554933,-86.2853733,2026-02-26T20:27:00+00:00,2026-03-02T13:45:00+00:00
528839,1772137560000,,Open,Traffic Issues for Montgomery Police Dept,Police Department,Call Center,1,32.3675683,-86.2299331,2026-02-26T20:26:00+00:00,
528838,1772137200000,,In Progress,Nuisance,Code Enforcement,Website,4,32.3517705,-86.368297,2026-02-26T20:20:00+00:00,
528837,1772137140000,,In Progress,Nuisance,Code Enforcement,Website,7,32.36624141,-86.30884429,2026-02-26T20:19:00+00:00,
528836,1772136840000,1772136900000,Closed,Street Light Out,Traffic Engineering,Website,,0.0,0.0,2026-02-26T20:14:00+00:00,2026-02-26T20:15:00+00:00
528835,1772135580000,,In Progress,Fire Upholstery,Building Maintenance,Call Center,3,32.3669606,-86.2868375,2026-02-26T19:53:00+00:00,
528833,1772135340000,1772135340000,Closed,FAQ-City Hall,FAQ,Call Center,,0.0,0.0,2026-02-26T19:49:00+00:00,2026-02-26T19:49:00+00:00
